basin	model	experiment	variant	year	total_tc	rate_per_year_per_realization
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2021	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2022	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2023	116	1.160000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2024	103	1.030000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2025	95	0.950000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2026	103	1.030000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2027	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2028	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2029	92	0.920000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2030	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2031	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2032	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2033	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2034	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2035	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2036	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2037	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2038	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2039	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2040	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2041	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2042	397	3.970000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2043	106	1.060000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2044	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2045	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2046	190	1.900000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2047	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2048	86	0.860000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2049	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2050	94	0.940000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2051	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2052	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2053	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2054	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2055	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2056	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2057	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2058	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2059	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2060	177	1.770000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2061	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2062	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2063	95	0.950000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2064	98	0.980000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2065	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2066	189	1.890000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2067	100	1.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2068	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2069	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2070	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2071	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2072	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2073	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2074	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2075	96	0.960000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2076	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2077	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2078	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2079	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2080	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2081	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2082	176	1.760000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2083	194	1.940000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2084	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2085	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2086	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2087	102	1.020000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2088	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2089	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2090	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2091	95	0.950000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2092	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2093	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2094	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2095	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2096	119	1.190000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2097	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2098	0	0.000000
AS	ACCESS-ESM1-5	ssp585	r1i1p1f1	2099	0	0.000000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1980	0	0.000000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1981	73	0.730000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1982	0	0.000000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1983	0	0.000000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1984	0	0.000000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1985	102	1.020000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1986	0	0.000000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1987	123	1.230000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1988	130	1.300000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1989	107	1.070000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1990	97	0.970000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1991	95	0.950000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1992	106	1.060000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1993	84	0.840000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1994	0	0.000000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1995	87	0.870000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1996	0	0.000000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1997	0	0.000000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1998	92	0.920000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	1999	90	0.900000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	2000	195	1.950000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	2001	114	1.140000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	2002	288	2.880000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	2003	0	0.000000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	2004	101	1.010000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	2005	155	1.550000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	2006	0	0.000000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	2007	0	0.000000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	2008	291	2.910000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	2009	0	0.000000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	2010	93	0.930000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	2011	0	0.000000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	2012	98	0.980000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	2013	94	0.940000
AS	AWI-CM-1-1-MR	historical	r1i1p1f1	2014	0	0.000000
